date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:38:04	6061/6061	---M--	200	added ('OK')	text/html	etag:W/%2217ad-pv87xccG/ucn9O1wNZY+R3Tqwog%22	https://firecode.glitch.me/	C:/My%20Web%20Sites/fire%20code/firecode.glitch.me/index.html	(from )
16:38:04	149/149	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2018%20Mar%202020%2013:38:07%20GMT	https://firecode.glitch.me/robots.txt		(from )
16:38:04	155758/155758	---M-Z	200	added ('OK')	text/css	etag:%221550076050%22	https://maxcdn.bootstrapcdn.com/bootstrap/4.3.1/css/bootstrap.min.css	C:/My%20Web%20Sites/fire%20code/maxcdn.bootstrapcdn.com/bootstrap/4.3.1/css/bootstrap.min.css	(from https://firecode.glitch.me/)
16:38:05	86927/86927	---MC-	200	added ('OK')	text/javascript	date:Thu,%2025%20Jan%202018%2015:33:24%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/3.3.1/jquery.min.js	C:/My%20Web%20Sites/fire%20code/ajax.googleapis.com/ajax/libs/jquery/3.3.1/jquery.min.js	(from https://firecode.glitch.me/)
16:38:05	21004/21004	---MCZ	200	added ('OK')	application/javascript	etag:W/%225c5043f8-520c%22	https://cdnjs.cloudflare.com/ajax/libs/popper.js/1.14.7/umd/popper.min.js	C:/My%20Web%20Sites/fire%20code/cdnjs.cloudflare.com/ajax/libs/popper.js/1.14.7/umd/popper.min.js	(from https://firecode.glitch.me/)
16:38:05	58072/58072	---M-Z	200	added ('OK')	text/javascript	etag:%221550076057%22	https://maxcdn.bootstrapcdn.com/bootstrap/4.3.1/js/bootstrap.min.js	C:/My%20Web%20Sites/fire%20code/maxcdn.bootstrapcdn.com/bootstrap/4.3.1/js/bootstrap.min.js	(from https://firecode.glitch.me/)
16:38:06	152/152	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2018%20Mar%202020%2013:38:09%20GMT	https://firecode.glitch.me/css/index.css	C:/My%20Web%20Sites/fire%20code/firecode.glitch.me/css/index.css	(from https://firecode.glitch.me/)
16:38:06	152/152	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2018%20Mar%202020%2013:38:10%20GMT	https://firecode.glitch.me/css/genel.css	C:/My%20Web%20Sites/fire%20code/firecode.glitch.me/css/genel.css	(from https://firecode.glitch.me/)
16:38:06	169649/169649	---MCZ	200	added ('OK')	application/javascript	etag:W/%225e32c201-296b1%22	https://cdnjs.cloudflare.com/ajax/libs/codemirror/5.51.0/codemirror.min.js	C:/My%20Web%20Sites/fire%20code/cdnjs.cloudflare.com/ajax/libs/codemirror/5.51.0/codemirror.min.js	(from https://firecode.glitch.me/)
16:38:06	6079/6079	---MCZ	200	added ('OK')	text/css	etag:W/%225e32c201-17bf%22	https://cdnjs.cloudflare.com/ajax/libs/codemirror/5.51.0/codemirror.min.css	C:/My%20Web%20Sites/fire%20code/cdnjs.cloudflare.com/ajax/libs/codemirror/5.51.0/codemirror.min.css	(from https://firecode.glitch.me/)
